Model,Mean_Train_R2,Std_Train_R2,Mean_Test_R2,Std_Test_R2
Baseline,0.9561640551698843,0.0015628964941399896,0.3665288117621411,0.013750540921798381
Enhanced,0.9594954122209147,0.0018781851570122494,0.36480409089179267,0.010483325147367122
Enhanced+Pathways,0.9594954122209147,0.0018781851570122494,0.36480409089179267,0.010483325147367122
