fold	Ridge_R2	Ridge_RMSE	Ridge_MAE	Lasso_R2	Lasso_RMSE	Lasso_MAE	ElasticNet_R2	ElasticNet_RMSE	ElasticNet_MAE	RandomForest_R2	RandomForest_RMSE	RandomForest_MAE	GradientBoosting_R2	GradientBoosting_RMSE	GradientBoosting_MAE	XGBoost_R2	XGBoost_RMSE	XGBoost_MAE	LightGBM_R2	LightGBM_RMSE	LightGBM_MAE	CatBoost_R2	CatBoost_RMSE	CatBoost_MAE	FTTransformer_R2	FTTransformer_RMSE	FTTransformer_MAE	SAINT_R2	SAINT_RMSE	SAINT_MAE
count	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
mean	0.3641611456871033	8.673233088283121	6.6762998580932615	0.36743026971817017	8.651225953045527	6.6684473037719725	0.365868353843689	8.661770521740431	6.671413135528565	0.3590272868089552	8.710059879471384	6.732953765500549	0.3746450813439153	8.603242084002593	6.650274101085145	0.36652880907058716	8.658837774229951	6.7098030090332035	0.3632172105152877	8.68126664449017	6.703028309908977	0.3893997876767453	8.501471866737822	6.591057664949841	0.38264	8.546000000000001	6.616	0.38262	8.547999999999998	6.609999999999999
std	0.02912924648880324	0.13569803541082398	0.10846662060794193	0.026812170807171964	0.11719476579540497	0.105557132835542	0.02791508420033782	0.12798282173053632	0.10897582500974472	0.014458428759674445	0.016066261611807412	0.05863297015650293	0.014881943479393006	0.03590800222394486	0.062237135893122957	0.015373569290353968	0.03197200424402232	0.03534088206714023	0.017515023058347665	0.05756920357271078	0.08804438645242638	0.011760211010220453	0.03455756718814467	0.08575314703022287	0.016403749571363233	0.04449719092257385	0.0654217089351845	0.015033695487138206	0.04658325879540839	0.05567764362830035
min	0.3237433433532715	8.526196223034713	6.516384124755859	0.3265858292579651	8.509122553235237	6.518951416015625	0.3257113695144653	8.510790539252353	6.5167765617370605	0.3383886076940781	8.689983488956106	6.639751461741738	0.3536699858104004	8.545175705242217	6.563171498220005	0.3472028970718384	8.613870710413678	6.656688213348389	0.3355406529967852	8.607439193201415	6.610685638717086	0.3724849255971706	8.473299525288855	6.503209656368098	0.3551	8.48	6.53	0.3561	8.48	6.54
25%	0.3428029417991638	8.570114425554063	6.620619773864746	0.3534652590751648	8.576027980388716	6.603555202484131	0.3473452925682068	8.574964375324596	6.604262828826904	0.3556616694105905	8.699296645036544	6.713161313177448	0.3681262857186731	8.603872244055506	6.621816074103513	0.3552180528640747	8.651879484581524	6.706380844116211	0.3627341737220712	8.638990452049057	6.618129192962567	0.3833004545196831	8.482686464425202	6.550413602229427	0.3814	8.53	6.57	0.3871	8.52	6.58
50%	0.3810488581657409	8.640046195153966	6.722430229187012	0.3835253119468689	8.631568508362243	6.716728210449219	0.3832835555076599	8.63665912250448	6.723901748657227	0.3567241505333655	8.710093575755682	6.757059349523463	0.3751608334495835	8.60891649983227	6.664302210435974	0.3675365447998047	8.656205490493646	6.713264465332031	0.3645642064594655	8.689006973464585	6.7252442536686745	0.3926347301048039	8.4827136765806	6.568743545204037	0.3871	8.56	6.63	0.3881	8.57	6.62
75%	0.3841963410377502	8.805968549358166	6.730215072631836	0.3854041695594787	8.75196859830422	6.720821857452393	0.3846790194511413	8.793145319056816	6.72447681427002	0.3673046702552478	8.721042062132836	6.768996907403341	0.3837033696620698	8.614742513661406	6.671494571446415	0.3799272775650024	8.669942774600289	6.717072486877441	0.3695663552924988	8.728820062891891	6.743378262678304	0.3958382146850211	8.510674306291317	6.602523201531827	0.3942	8.56	6.66	0.3883	8.58	6.62
max	0.3890142440795898	8.82384004831469	6.791850090026856	0.3881707787513733	8.787442124937217	6.782179832458496	0.3883225321769714	8.793293252563908	6.787647724151611	0.3770573361514941	8.729883625475754	6.785799795656757	0.3925649320788495	8.643503457221575	6.730586151219819	0.3827592730522156	8.702290411060613	6.755609035491943	0.3836806641056181	8.742076540843906	6.817704201518251	0.4027406134770479	8.557985361103134	6.730398319415816	0.3954	8.6	6.69	0.3935	8.59	6.69
