MAP_Threshold	Prevalence	N_Cases	N_Controls	AUROC_Mean	AUROC_Std	Accuracy_Mean	Accuracy_Std	Sensitivity_Mean	Sensitivity_Std	Specificity_Mean	Specificity_Std
93.3	0.1863310853090454	2680	11703	0.8140849510058203	0.008900240212360447	0.8255591200268013	0.007087232256153532	0.23198706972518784	0.017308278982620426	0.9615454512015674	0.003591060738123818
96.7	0.11652645484252243	1676	12707	0.8161494650654724	0.012162910955273607	0.883613213617376	0.004524342748564946	0.08122039441442426	0.01914616714637527	0.9894560768596474	0.0017892685664532759
100.0	0.07932976430508239	1141	13242	0.8097986801358109	0.014519484105057885	0.9203224654023107	0.0024857348946244395	0.027722053223155435	0.00848159615982715	0.9972080240568966	0.001396693788546768
103.3	0.04832093443648752	695	13688	0.818537833527186	0.017188122223345766	0.951470561931157	0.00236259331621474	0.012484034930316057	0.011304003309268265	0.9991237090609631	0.00029178809437623336
107.0	0.025029548772856843	360	14023	0.8211196301156555	0.013018148779696367	0.9747617065566772	0.0018099931344120977	0.0024691358024691358	0.0049382716049382715	0.999714845738872	0.00026663558140170476
110.0	0.01473962316623792	212	14171	0.8250886182410351	0.014231291464367688	0.9852601782010023	0.0022820397406060266	0.0	0.0	1.0	0.0
