fold	LogisticRegression_AUROC	RandomForest_AUROC	GradientBoosting_AUROC	XGBoost_AUROC	LightGBM_AUROC	CatBoost_AUROC	FTTransformer_AUROC	SAINT_AUROC
count	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
mean	0.8337079801371097	0.8259457581791484	0.8315192723312522	0.8304721564186022	0.827351163988388	0.8340353312667753	0.83162	0.8288399999999999
std	0.012121153761281133	0.008715820522990475	0.010896592328174278	0.010794813884515593	0.009655949913619512	0.010303608668477755	0.009246458781609308	0.006694251265078131
min	0.8141196047274488	0.8152414531517462	0.8173105644704807	0.8156322246697538	0.8146242660247011	0.817322158040823	0.8196	0.818
25%	0.8305776252278133	0.8220008052772411	0.8265726990185748	0.8264613827035502	0.8232505626308833	0.8338103949356703	0.8249	0.8282
50%	0.8386526444139613	0.8228597178319847	0.829361478253056	0.8289576747977176	0.825354035373717	0.8341046897675991	0.8337	0.8293
75%	0.8401683400935346	0.8329528613577342	0.8392769078174523	0.8374815756810072	0.8342150685994192	0.8412460934902586	0.8378	0.8339
max	0.8450216862227903	0.8366739532770353	0.8450747120966974	0.8438279242409822	0.8393118873132197	0.8436933200995256	0.8421	0.8348
